Procesador,RAM,Tipo RAM,Almacenamiento,Graficos,Pantalla,Resolucion,Sistema Operativo,Bateria,Precio,Tipo,CPU_Generation,Quality_Score,Value_Score,es_chollo_pred,probabilidad_chollo
Intel Core i5-1135G7,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,No,70.0,549.0,Intel,5,361.8,0.659016393442623,1,0.98
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83.0,1862.41,AMD,0,18.1,0.009718590428530774,0,0.0
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1471.11,Intel,7,366.8,0.24933553575191525,1,0.87
Intel Core i7-12650H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70.0,960.46,Intel,7,464.2,0.48331008058638564,1,0.99
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,1920x1080,FreeDOS,83.0,1471.11,AMD,0,18.1,0.012303634670418936,0,0.01
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83.0,2058.06,Intel,9,468.1,0.22744720756440534,1,0.82
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,14.0,2880x1800,No,73.0,2308.74,AMD,0,17.1,0.007406637386626473,0,0.0
Intel Core i7-13700H,16.0,DDR4,1.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,70.0,1373.28,Intel,7,362.0,0.2636024699988349,1,0.94
Intel Core i7-13700H,16.0,DDR5,512.0,Intel Iris Xe Graphics,16.1,1920x1080,FreeDOS,70.0,1265.66,Intel,7,464.2,0.3667651660003476,1,1.0
AMD Ryzen 7-8845HS,16.0,DDR5,1.0,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,70.0,1108.08,AMD,0,12.0,0.010829542993285684,0,0.01
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1375.59,Intel,7,362.0,0.26315980779156584,1,0.94
Qualcomm Snapdragon-X1-P42-100,16.0,DDR5,1.0,Qualcomm Adreno GPU,13.3,2880x1800,Windows 11 Home,70.0,1575.99,Qualcomm,0,12.0,0.007614261511811623,0,0.0
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,70.0,1610.85,Intel,7,366.8,0.22770586957196512,1,0.84
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,Windows 11 Home,83.0,1764.58,AMD,0,18.1,0.010257398361083091,0,0.0
Intel Core i7-12650H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,70.0,955.32,Intel,7,464.2,0.485910480257924,1,0.99
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,Windows 11 Home,70.0,1568.95,Intel,7,366.8,0.23378692756301986,1,0.84
AMD Ryzen 9-8945HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,2560x1440,FreeDOS,83.0,1666.76,AMD,0,18.1,0.010859391874055054,0,0.0
Intel Core i9-14900HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,2560x1440,Windows 11 Home,83.0,2253.72,Intel,9,468.1,0.207701045382745,1,0.82
AMD Ryzen 7-8845HS,32.0,DDR5,1.0,AMD Radeon 780M,17.3,1920x1080,Windows 11 Home,83.0,1568.95,AMD,0,18.1,0.011536377832308231,0,0.0
Intel Core i7-13620H,32.0,DDR5,1.0,Intel® UHD Graphics,16.1,1920x1080,FreeDOS,83.0,1568.95,Intel,7,368.1,0.2346155071863348,1,0.84
Intel Core i3-1215U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,507.03,Intel,3,258.9,0.5106206733329388,1,0.94
Intel Core i5-1235U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,630.0,Intel,5,361.3,0.5734920634920635,1,1.0
Intel Core i7-1255U,16.0,DDR4,1000.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,678.0,Intel,7,558.9,0.8243362831858406,1,1.0
Intel Core Ultra 9-185H,32.0,DDR5,512.0,,16.0,1920x1200,,86.0,3590.99,Intel,15,870.6,0.24244010704568938,1,0.85
Intel Core i5-1235U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,566.99,Intel,5,358.9,0.6329917635231661,1,1.0
Intel Core Ultra 5-125U,16.0,DDR5,512.0,Intel Graphics,16.0,2048x1280,Windows 11 Home,59.0,967.0,Intel,15,863.1,0.8925542916235781,1,1.0
Intel Core Ultra 7-155H,32.0,DDR5,1.0,,14.0,1920x1200,,56.0,1849.99,Intel,15,765.4,0.41373196611873575,1,0.86
Intel Core i3-1215U,8.0,DDR4,256.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,417.99,Intel,3,207.7,0.496901839756932,1,0.67
AMD Ryzen 5-5625U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,41.0,454.04,AMD,0,108.9,0.23984670954100962,0,0.04
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,751.99,Intel,7,461.3,0.6134390084974535,1,1.0
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,582.99,Intel,7,458.9,0.7871490077016758,1,1.0
Intel Core Ultra 5-125U,16.0,DDR5,512.0,Intel Graphics,14.0,1920x1200,Windows 11 Home,59.0,981.99,Intel,15,863.1,0.8789295206672166,1,1.0
Intel Celeron-N4500,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,355.99,Intel,0,57.7,0.16208320458439845,0,0.17
Intel Core i7-1355U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,683.99,Intel,7,458.9,0.6709162414655184,1,1.0
AMD Ryzen 5-8640HS,16.0,DDR5,512.0,AMD Radeon Graphics,14.0,1920x1200,Windows 11 Home,59.0,883.99,AMD,0,113.10000000000001,0.12794262378533694,0,0.01
Intel Core i5-1235U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,539.01,Intel,5,358.9,0.665850355280978,1,1.0
Intel Core i5-1235U,8.0,DDR4,256.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,515.99,Intel,5,307.7,0.5963293862284152,1,0.97
AMD Ryzen 3-7330U,8.0,DDR4,256.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,388.0,AMD,0,57.7,0.14871134020618557,0,0.01
AMD Ryzen 5-7520U,16.0,DDR5,512.0,AMD Radeon Graphics,15.6,1920x1080,FreeDOS,41.0,489.0,AMD,0,111.3,0.22760736196319017,0,0.03
Intel Core i7-1255U,8.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,657.05,Intel,7,458.9,0.6984247774141998,1,1.0
Qualcomm Snapdragon-X1E-78-100,32.0,DDR5,1.0,Qualcomm Adreno GPU,14.0,2240x1400,Windows 11 Home,59.0,1372.99,Qualcomm,0,15.7,0.011434897559341291,0,0.02
Intel Core i5-,16.0,DDR4,512.0,,14.0,1920x1080,,43.0,864.99,Intel,5,361.5,0.41792390663475876,1,1.0
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,701.99,AMD,0,111.3,0.1585492670835767,0,0.0
Intel Core Ultra 7-258V,8.0,,512.0,,14.0,2880x1800,Windows 11 Home,64.0,1764.99,Intel,15,861.2,0.487934775834424,1,0.92
AMD Ryzen 7-8840U,16.0,DDR5,1.0,AMD Radeon Graphics,16.0,1920x1200,Windows 11 Home,59.0,932.99,AMD,0,10.9,0.011682869055402523,0,0.01
Intel Celeron-N100,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,408.99,Intel,0,57.7,0.14107924399129562,0,0.13
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Pro,68.0,2034.99,Intel,15,766.6,0.3767094678597929,1,0.85
Intel Core Ultra 7-155H,32.0,DDR5,512.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Home,68.0,1274.99,Intel,15,868.8,0.6814171091537973,1,0.95
AMD Ryzen 5-5625U,8.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,493.04,AMD,0,108.9,0.22087457407106928,0,0.04
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,16.0,2560x1600,Windows 11 Home,68.0,1764.99,Intel,15,766.6,0.43433673845177595,1,0.85
Intel Core Ultra 7-155H,64.0,DDR5,1.0,,16.0,1920x1200,,76.0,1979.2,Intel,15,777.0,0.3925828617623282,1,0.83
AMD Ryzen 5-5500U,8.0,DDR4,512.0,,15.6,1920x1080,,56.0,599.0,AMD,0,110.4,0.18430717863105175,0,0.02
AMD Ryzen 3-7320U,8.0,DDR5,256.0,AMD Radeon 610M,15.6,1920x1080,Windows 11 Home in S mode,41.0,466.99,AMD,0,57.7,0.12355724961990622,0,0.02
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,711.99,Intel,7,461.3,0.647902358179188,1,1.0
Intel Core i5-8350U,16.0,DDR4,256.0,Intel® UHD Graphics 620,14.0,1920x1080,Windows 11 Pro,56.0,587.68,Intel,5,311.6,0.5302205281786007,1,0.92
Intel Core Ultra 7-155U,16.0,DDR5,512.0,Intel Graphics,16.0,1920x1200,Windows 11 Home,59.0,978.02,Intel,15,863.1,0.8824972904439582,1,1.0
Intel Core Ultra 5-125H,16.0,DDR5,1.0,Intel Arc Graphics,14.0,2560x1600,Windows 11 Home,68.0,981.99,Intel,15,761.8,0.7757716473691177,1,0.95
Intel Core Ultra 7-155U,32.0,DDR5,1.0,Intel Graphics,16.0,2880x1800,Windows 11 Home,68.0,1471.0,Intel,15,766.6,0.521142080217539,1,0.9
Intel Core Ultra 7-155H,16.0,DDR5,1.0,,14.0,1920x1080,Windows 11 Home,41.0,981.99,Intel,15,759.1,0.7730221285349138,1,0.94
Intel Celeron-N100,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,391.99,Intel,0,57.7,0.1471976325926682,0,0.18
Intel Core i5-,32.0,DDR5,512.0,,16.0,1920x1200,,56.0,1612.99,Intel,5,367.6,0.22789973899404214,1,0.86
Intel Core i3-N305,8.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,442.99,Intel,3,258.9,0.5844375719542201,1,0.94
Qualcomm-X1E-78-100,8.0,,512.0,,14.0,2240x1400,,59.0,2028.0,Qualcomm,0,110.70000000000002,0.054585798816568054,0,0.01
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,613.0,AMD,0,111.3,0.18156606851549756,0,0.0
Intel Core Ultra 5-125H,16.0,DDR5,512.0,,14.0,1920x1200,,56.0,1493.99,Intel,15,862.8,0.577513905715567,1,0.98
AMD Ryzen 7-8840HS,16.0,DDR5,1.0,AMD Radeon Graphics,16.0,2880x1800,Windows 11 Home,68.0,1274.99,AMD,0,11.8,0.009254974548819992,0,0.01
Intel Core i3-N305,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Home,41.0,489.99,Intel,3,207.7,0.42388620175921954,1,0.72
Intel Core i5-1235U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,551.99,Intel,5,361.3,0.6545408431312162,1,1.0
Qualcomm Snapdragon-X1E-78-100,16.0,DDR5,1.0,Qualcomm Adreno GPU,14.0,2240x1400,Windows 11 Home,59.0,1274.99,Qualcomm,0,10.9,0.008549086659503212,0,0.01
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Home,41.0,661.99,Intel,7,461.3,0.6968383208205562,1,1.0
AMD Ryzen 5-5625U,16.0,DDR4,1000.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,590.99,AMD,0,208.9,0.35347467808253946,0,0.11
AMD Ryzen 5-7520U,16.0,DDR5,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,537.0,AMD,0,111.3,0.20726256983240224,0,0.03
Intel Core i5-1334U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,Windows 11 Pro,42.0,999.23,Intel,5,361.4,0.36167849243917816,1,0.98
AMD Ryzen 5-7520U,8.0,DDR5,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,540.0,AMD,0,108.9,0.2016666666666667,0,0.03
Intel Core i7-1255U,16.0,DDR4,512.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDOS,41.0,630.99,Intel,7,461.3,0.731073392605271,1,1.0
Intel Core Ultra 7-155H,32.0,DDR5,512.0,,16.0,1920x1200,,86.0,2637.99,Intel,15,870.6,0.33002399554206047,1,0.85
Intel Core Ultra 7-165H,32.0,DDR5,512.0,,16.0,1920x1200,,86.0,2974.0,Intel,15,870.6,0.2927370544720915,1,0.85
AMD Ryzen 7-7730U,16.0,DDR4,512.0,AMD Radeon Graphics,15.6,1920x1080,Windows 11 Home,41.0,608.99,AMD,0,111.3,0.18276162170150576,0,0.0
Intel Core i7-13650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,99.0,1679.0,Intel,7,369.7,0.2201905896366885,1,0.82
Intel Core i5-12450H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,No,52.0,1020.08,Intel,5,362.4,0.35526625362716646,1,0.97
Intel Core Ultra 7-155H,32.0,DDR5,1.0,Intel Arc Graphics,14.0,2880x1800,Windows 11 Home,90.0,1729.01,Intel,15,768.8,0.44464751505196615,1,0.85
Intel Core i5-13420H,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53.0,999.0,Intel,5,362.5,0.36286286286286284,1,0.97
Intel Core i7-13620H,16.0,DDR4,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,52.0,869.0,Intel,7,462.4,0.5321058688147295,1,0.99
Intel Core i5-12500H,16.0,DDR4,1.0,Intel Iris Xe Graphics,15.6,1920x1080,FreeDos,54.0,949.0,Intel,5,260.4,0.27439409905163326,1,0.86
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53.0,1259.78,Intel,7,360.3,0.28600231786502406,1,0.93
Intel Core i7-13620H,16.0,DDR5,512.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,53.0,969.0,Intel,7,462.5,0.47729618163054693,1,0.97
Intel Core i3-1315U,8.0,DDR4,256.0,Intel® UHD Graphics,15.6,1920x1080,Windows 11 Pro,41.0,610.99,Intel,3,207.7,0.33994009721926705,1,0.7
Intel Core i7-13620H,32.0,DDR5,1000.0,Intel® UHD Graphics,15.6,1920x1080,No,53.0,1249.0,Intel,7,564.9,0.45228182546036827,1,0.91
Intel Core i7-14700HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,90.0,1899.0,Intel,7,368.8,0.1942074776197999,1,0.82
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,90.0,1599.0,Intel,7,364.0,0.22764227642276422,1,0.89
Intel Core Ultra 7-155H,16.0,DDR5,1.0,Intel Arc Graphics,16.0,2560x1600,Windows 11 Home,99.0,1729.01,Intel,15,764.9,0.4423918890000636,1,0.89
Intel Core i7-14650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,99.0,1679.0,Intel,7,364.9,0.2173317450863609,1,0.87
Intel Core i7-13700HX,32.0,DDR5,1000.0,Intel® UHD Graphics,17.0,2560x1600,Windows 11 Home,90.0,,Intel,7,568.6,,1,0.92
Intel Core i5-13500H,16.0,DDR5,1.0,,15.6,1920x1080,No,54.0,1019.0,Intel,5,260.4,0.2555446516192345,1,0.87
Intel Core i5-13420H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,No,53.0,949.0,Intel,5,260.3,0.2742887249736565,1,0.86
Intel Core i7-13620H,16.0,DDR5,1.0,,14.0,2880x1800,Windows 11 Home,63.0,1919.0,Intel,7,361.3,0.18827514330380407,1,0.87
Apple M-M4 Pro,24.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,2812.58,Apple,4,214.6,0.07630005190963457,0,0.01
Intel Core i7-14650HX,32.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,Windows 11 Home,99.0,1609.0,Intel,7,369.7,0.22977004350528277,1,0.84
Intel Core Ultra 7-155H,16.0,DDR5,1.0,Intel Arc Graphics,16.0,2880x1800,Windows 11 Home,76.0,2611.99,Intel,15,762.6,0.2919613015363765,1,0.88
Apple M-M4 Max,36.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3955.16,Apple,4,221.0,0.05587637415426936,0,0.0
Apple M-M3,8.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sonoma,52.0,1346.28,Apple,3,260.0,0.19312475859405176,0,0.26
Apple M-M3,24.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1679.54,Apple,3,264.8,0.1576622170356169,0,0.1
Apple M-M4 Pro,24.0,,512.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,2336.51,Apple,4,316.8,0.13558683677792946,0,0.12
Apple M-M2,8.0,,512.0,Apple GPU,13.6,2560x1664,macOS Monterey,52.0,1260.59,Apple,2,210.0,0.16658866086515045,0,0.15
Apple M-M2,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sonoma,52.0,1017.61,Apple,2,161.2,0.15841039297962872,0,0.09
Apple M-M4 Max,36.0,,1.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,3669.51,Apple,4,218.2,0.059462980070908646,0,0.0
Apple M-M3,8.0,,256.0,Apple GPU,23.5,4480x2520,macOS Sonoma,56.0,1564.95,Apple,3,209.2,0.13367839228090353,0,0.05
Apple M-M4,16.0,,512.0,Apple GPU,14.2,3024x1964,macOS Sequoia,72.0,1827.15,Apple,4,314.4,0.17207125851736307,0,0.18
Apple M-M2,8.0,,512.0,Apple GPU,13.6,2560x1664,macOS Monterey,52.0,1260.59,Apple,2,210.0,0.16658866086515045,0,0.15
Apple M-M3 Max,36.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sonoma,100.0,3863.68,Apple,3,171.0,0.04425832367069737,0,0.01
Apple M-M3,8.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1641.59,Apple,3,261.4,0.15923586279156182,0,0.19
Apple M-M3,16.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1746.19,Apple,3,263.8,0.15107176195030322,0,0.14
Apple M-M3,16.0,,512.0,Apple GPU,15.3,2880x1864,macOS Sonoma,66.0,1746.19,Apple,3,263.8,0.15107176195030322,0,0.14
Apple M-M4 Max,48.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,4526.43,Apple,4,224.6,0.04961967820114306,0,0.0
Intel Core i7-12650H,16.0,DDR4,1.0,Intel® UHD Graphics,17.3,1920x1080,Windows 11 Home,56.0,1310.78,Intel,7,360.6,0.27510337356383224,1,0.96
Apple M-M4 Max,48.0,,1.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,4553.33,Apple,4,224.6,0.04932653684226709,0,0.0
Apple M-M3,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1241.54,Apple,3,211.2,0.17011131336888058,0,0.09
Apple M-M3,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1248.9,Apple,3,211.2,0.1691088157578669,0,0.09
Apple M-M3,16.0,,256.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1241.54,Apple,3,211.2,0.17011131336888058,0,0.09
Apple M-M4 Pro,48.0,,512.0,Apple GPU,16.2,3456x2234,macOS Sequoia,100.0,3250.58,Apple,4,326.8,0.10053590436168315,0,0.09
Apple M-M3,24.0,,512.0,Apple GPU,13.6,2560x1664,macOS Sequoia,52.0,1679.54,Apple,3,264.8,0.1576622170356169,0,0.1
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,54.0,1084.66,Intel,7,360.4,0.332270020098464,1,0.93
Intel Core i7-13650HX,16.0,DDR5,1.0,Intel® UHD Graphics,16.0,2560x1600,FreeDOS,99.0,1347.52,Intel,7,364.9,0.27079375445262405,1,0.95
Apple M-M3,16.0,,256.0,Apple GPU,15.3,2880x1864,macOS Sequoia,66.0,1527.19,Apple,3,212.6,0.13920992148979497,0,0.03
Intel Core i7-13620H,16.0,DDR5,1.0,Intel® UHD Graphics,15.6,1920x1080,FreeDOS,54.0,1015.83,Intel,7,360.4,0.35478377287538265,1,0.93
